[Wed Oct 17 17:26:28.871753 2018] [php7:notice] [pid 4254] [client 127.0.0.1:41710] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 2
[Wed Oct 17 17:49:37.282701 2018] [php7:warn] [pid 4253] [client 127.0.0.1:47592] PHP Warning:  file_put_contents(images/1891776899.png): failed to open stream: Permission denied in /var/www/html/rest_foods_ibm/index.php on line 50
[Wed Oct 17 17:49:37.282864 2018] [php7:warn] [pid 4253] [client 127.0.0.1:47592] PHP Warning:  imagecreatefromstring(): Data is not in a recognized format in /var/www/html/rest_foods_ibm/index.php on line 55
[Wed Oct 17 17:49:37.282884 2018] [php7:warn] [pid 4253] [client 127.0.0.1:47592] PHP Warning:  imagerotate() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 57
[Wed Oct 17 17:49:37.282898 2018] [php7:warn] [pid 4253] [client 127.0.0.1:47592] PHP Warning:  imagejpeg() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 61
[Wed Oct 17 17:49:37.282910 2018] [php7:warn] [pid 4253] [client 127.0.0.1:47592] PHP Warning:  imagedestroy() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 63
[Wed Oct 17 17:50:30.380282 2018] [php7:warn] [pid 9931] [client 127.0.0.1:47810] PHP Warning:  file_put_contents(images/1774927157.png): failed to open stream: Permission denied in /var/www/html/rest_foods_ibm/index.php on line 50
[Wed Oct 17 17:50:30.380499 2018] [php7:warn] [pid 9931] [client 127.0.0.1:47810] PHP Warning:  imagecreatefromstring(): Data is not in a recognized format in /var/www/html/rest_foods_ibm/index.php on line 55
[Wed Oct 17 17:50:30.380535 2018] [php7:warn] [pid 9931] [client 127.0.0.1:47810] PHP Warning:  imagerotate() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 57
[Wed Oct 17 17:50:30.380582 2018] [php7:warn] [pid 9931] [client 127.0.0.1:47810] PHP Warning:  imagejpeg() expects parameter 1 to be resource, boolean given in /var/www/html/rest_foods_ibm/index.php on line 61
[Wed Oct 17 18:01:47.689467 2018] [php7:notice] [pid 4254] [client 127.0.0.1:50718] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Wed Oct 17 18:01:47.689501 2018] [php7:notice] [pid 4254] [client 127.0.0.1:50718] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 8
[Wed Oct 17 18:01:47.689618 2018] [php7:warn] [pid 4254] [client 127.0.0.1:50718] PHP Warning:  file_put_contents(images/5bc7bf5ba85a3.png): failed to open stream: Permission denied in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:02:55.503303 2018] [php7:warn] [pid 4257] [client 127.0.0.1:50996] PHP Warning:  file_put_contents(images/5bc7bf9f7adda.png): failed to open stream: Permission denied in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:04:42.333281 2018] [php7:warn] [pid 4255] [client 127.0.0.1:51428] PHP Warning:  file_put_contents(../images/5bc7c00a5159c.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:07:46.354895 2018] [php7:warn] [pid 4253] [client 127.0.0.1:52264] PHP Warning:  file_put_contents(../images/5bc7c0c256a14.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:13:49.753331 2018] [php7:warn] [pid 9931] [client 127.0.0.1:54002] PHP Warning:  file_put_contents(../images/5bc7c22db7e74.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:13:52.188806 2018] [php7:warn] [pid 9931] [client 127.0.0.1:54002] PHP Warning:  file_put_contents(../images/5bc7c2302e161.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:23:00.215451 2018] [php7:warn] [pid 4257] [client 127.0.0.1:55350] PHP Warning:  file_put_contents(../images/5bc7c45434952.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:23:01.554173 2018] [php7:warn] [pid 4257] [client 127.0.0.1:55350] PHP Warning:  file_put_contents(../images/5bc7c45587488.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:23:01.871166 2018] [php7:warn] [pid 9488] [client 127.0.0.1:55364] PHP Warning:  file_put_contents(../images/5bc7c455d4a8f.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:23:26.408512 2018] [php7:warn] [pid 4254] [client 127.0.0.1:55468] PHP Warning:  file_put_contents(../images/5bc7c46e63b6f.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:25:36.940400 2018] [php7:warn] [pid 4253] [client 127.0.0.1:56094] PHP Warning:  file_put_contents(../images/5bc7c4f0e5932.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:25:44.451112 2018] [php7:warn] [pid 4256] [client 127.0.0.1:56112] PHP Warning:  file_put_contents(../images/5bc7c4f86e1ec.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:26:12.451392 2018] [php7:notice] [pid 9931] [client 127.0.0.1:56242] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Wed Oct 17 18:26:12.452217 2018] [php7:warn] [pid 9931] [client 127.0.0.1:56242] PHP Warning:  file_put_contents(../images/5bc7c5146e629.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 10
[Wed Oct 17 18:57:31.954880 2018] [php7:notice] [pid 4257] [client 127.0.0.1:36944] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 18:57:34.770041 2018] [php7:warn] [pid 4257] [client 127.0.0.1:36944] PHP Warning:  opendir(../images/): failed to open dir: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 6
[Wed Oct 17 18:57:34.770074 2018] [php7:notice] [pid 4257] [client 127.0.0.1:36944] PHP Notice:  Undefined index: imagen in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Wed Oct 17 18:57:34.770085 2018] [php7:notice] [pid 4257] [client 127.0.0.1:36944] PHP Notice:  Undefined index: imagen in /var/www/html/rest_foods_ibm/Functions/Images.php on line 8
[Wed Oct 17 18:57:34.770099 2018] [php7:warn] [pid 4257] [client 127.0.0.1:36944] PHP Warning:  copy(): Filename cannot be empty in /var/www/html/rest_foods_ibm/Functions/Images.php on line 8
[Wed Oct 17 19:01:43.214560 2018] [php7:notice] [pid 9488] [client 127.0.0.1:38020] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 19:01:46.090225 2018] [php7:warn] [pid 9488] [client 127.0.0.1:38020] PHP Warning:  file_put_contents(local.rest_foods_ibm/foto.jpg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 5
[Wed Oct 17 19:02:09.441195 2018] [php7:warn] [pid 4254] [client 127.0.0.1:38134] PHP Warning:  file_put_contents(local.restfoodsibm/foto.jpg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 5
[Wed Oct 17 19:03:01.448469 2018] [php7:warn] [pid 4253] [client 127.0.0.1:38346] PHP Warning:  file_put_contents(local.restfoodsibm/foto.jpg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/index.php on line 10
[Wed Oct 17 19:03:19.381301 2018] [php7:notice] [pid 4256] [client 127.0.0.1:38422] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 19:03:35.651605 2018] [php7:warn] [pid 9931] [client 127.0.0.1:38496] PHP Warning:  file_put_contents(http://local.restfoodsibm.com/foto.jpg): failed to open stream: HTTP wrapper does not support writeable connections in /var/www/html/rest_foods_ibm/index.php on line 10
[Wed Oct 17 19:26:44.537827 2018] [php7:notice] [pid 4257] [client 127.0.0.1:44166] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 19:31:11.203623 2018] [php7:notice] [pid 4254] [client 127.0.0.1:45294] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 19:31:14.002326 2018] [php7:notice] [pid 4254] [client 127.0.0.1:45294] PHP Notice:  Undefined index: archivo in /var/www/html/rest_foods_ibm/Functions/Images.php on line 6
[Wed Oct 17 19:31:14.002363 2018] [php7:notice] [pid 4254] [client 127.0.0.1:45294] PHP Notice:  Undefined index: archivo in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Wed Oct 17 19:31:14.002377 2018] [php7:notice] [pid 4254] [client 127.0.0.1:45294] PHP Notice:  Undefined variable: imgdecode in /var/www/html/rest_foods_ibm/index.php on line 11
[Wed Oct 17 19:31:14.002404 2018] [php7:warn] [pid 4254] [client 127.0.0.1:45294] PHP Warning:  file_put_contents(http://local.restfoodsibm.com/foto.jpg): failed to open stream: HTTP wrapper does not support writeable connections in /var/www/html/rest_foods_ibm/index.php on line 11
[Wed Oct 17 19:34:35.294688 2018] [php7:notice] [pid 4253] [client 127.0.0.1:46118] PHP Notice:  Undefined index: archivo in /var/www/html/rest_foods_ibm/Functions/Images.php on line 6
[Wed Oct 17 19:34:35.294728 2018] [php7:notice] [pid 4253] [client 127.0.0.1:46118] PHP Notice:  Undefined index: archivo in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Wed Oct 17 19:35:27.512333 2018] [php7:notice] [pid 4256] [client 127.0.0.1:46332] PHP Notice:  Undefined index: u\xabZ\x8af\xa0{\xf8\xe9z\x06\xda\xb1\xee\xb8\xff\xd8\xff\xe0 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 6
[Wed Oct 17 19:35:27.512385 2018] [php7:notice] [pid 4256] [client 127.0.0.1:46332] PHP Notice:  Undefined index: u\xabZ\x8af\xa0{\xf8\xe9z\x06\xda\xb1\xee\xb8\xff\xd8\xff\xe0 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Wed Oct 17 19:38:34.394355 2018] [php7:notice] [pid 9931] [client 127.0.0.1:47116] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 19:38:40.442193 2018] [php7:notice] [pid 4255] [client 127.0.0.1:47142] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 19:38:40.641909 2018] [php7:notice] [pid 4255] [client 127.0.0.1:47142] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 19:39:07.943177 2018] [php7:notice] [pid 4257] [client 127.0.0.1:47252] PHP Notice:  Undefined index: u\xabZ\x8af\xa0{\xf8\xe9z\x06\xda\xb1\xee\xb8\xff\xd8\xff\xe0 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Wed Oct 17 19:39:07.943216 2018] [php7:notice] [pid 4257] [client 127.0.0.1:47252] PHP Notice:  Undefined index: u\xabZ\x8af\xa0{\xf8\xe9z\x06\xda\xb1\xee\xb8\xff\xd8\xff\xe0 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 8
[Wed Oct 17 19:40:28.804612 2018] [php7:notice] [pid 9488] [client 127.0.0.1:47588] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 19:49:39.717285 2018] [php7:notice] [pid 4253] [client 127.0.0.1:50136] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 19:50:42.777100 2018] [php7:notice] [pid 9931] [client 127.0.0.1:50390] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Wed Oct 17 19:50:44.179721 2018] [php7:warn] [pid 9931] [client 127.0.0.1:50390] PHP Warning:  file_put_contents(unodepiera.png): failed to open stream: Permission denied in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Wed Oct 17 19:59:23.136872 2018] [php7:warn] [pid 4255] [client 127.0.0.1:52592] PHP Warning:  file_put_contents(../images/unodepiera.jpeg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Wed Oct 17 20:00:35.334631 2018] [php7:warn] [pid 4257] [client 127.0.0.1:52886] PHP Warning:  file_put_contents(../images/unodepiera.jpeg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:31:02.851547 2018] [php7:notice] [pid 5668] [client 127.0.0.1:48640] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Thu Oct 18 00:31:03.617584 2018] [php7:notice] [pid 5668] [client 127.0.0.1:48640] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Thu Oct 18 00:31:08.925059 2018] [php7:warn] [pid 5668] [client 127.0.0.1:48640] PHP Warning:  file_put_contents(../images/unodepiera.jpeg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:45:54.543484 2018] [php7:warn] [pid 5670] [client 127.0.0.1:52272] PHP Warning:  file_get_contents() expects parameter 1 to be a valid path, string given in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:45:54.543545 2018] [php7:warn] [pid 5670] [client 127.0.0.1:52272] PHP Warning:  file_put_contents(../images/unodepiera.jpeg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:45:56.464487 2018] [php7:warn] [pid 5670] [client 127.0.0.1:52272] PHP Warning:  file_get_contents() expects parameter 1 to be a valid path, string given in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:45:56.464554 2018] [php7:warn] [pid 5670] [client 127.0.0.1:52272] PHP Warning:  file_put_contents(../images/unodepiera.jpeg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:47:02.559427 2018] [php7:warn] [pid 5672] [client 127.0.0.1:52580] PHP Warning:  file_put_contents(../images/unodepiera.jpeg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:47:25.296091 2018] [php7:warn] [pid 5668] [client 127.0.0.1:52680] PHP Warning:  file_put_contents(../images/unodepiera.jpg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:47:46.140568 2018] [php7:warn] [pid 5670] [client 127.0.0.1:52772] PHP Warning:  file_put_contents(../images/): failed to open stream: Is a directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:48:58.642809 2018] [php7:warn] [pid 5672] [client 127.0.0.1:53074] PHP Warning:  file_put_contents(../images/): failed to open stream: Is a directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:48:59.118595 2018] [php7:warn] [pid 5672] [client 127.0.0.1:53074] PHP Warning:  file_put_contents(images/pepperoni%20pizza.jpg): failed to open stream: Permission denied in /var/www/html/rest_foods_ibm/Functions/Images.php on line 22
[Thu Oct 18 00:49:14.447128 2018] [php7:warn] [pid 5668] [client 127.0.0.1:53148] PHP Warning:  file_put_contents(../images/): failed to open stream: Is a directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:49:14.913120 2018] [php7:warn] [pid 5668] [client 127.0.0.1:53148] PHP Warning:  file_put_contents(../images/pepperoni%20pizza.jpg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 22
[Thu Oct 18 00:49:30.476934 2018] [php7:warn] [pid 5670] [client 127.0.0.1:53222] PHP Warning:  file_put_contents(../images/): failed to open stream: Is a directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:49:30.948861 2018] [php7:warn] [pid 5670] [client 127.0.0.1:53222] PHP Warning:  file_put_contents(..images/pepperoni%20pizza.jpg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 22
[Thu Oct 18 00:49:40.622937 2018] [php7:notice] [pid 5671] [client 127.0.0.1:53272] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Thu Oct 18 00:49:42.733662 2018] [php7:warn] [pid 5671] [client 127.0.0.1:53272] PHP Warning:  file_put_contents(../images/): failed to open stream: Is a directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Thu Oct 18 00:49:44.782575 2018] [php7:warn] [pid 5671] [client 127.0.0.1:53272] PHP Warning:  file_put_contents(..images/pepperoni%20pizza.jpg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 22
[Thu Oct 18 00:50:00.090944 2018] [php7:warn] [pid 5672] [client 127.0.0.1:53348] PHP Warning:  file_put_contents(../images/): failed to open stream: Is a directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 12
[Sat Oct 20 11:04:07.262472 2018] [php7:notice] [pid 1280] [client 127.0.0.1:43424] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Sat Oct 20 11:04:17.331401 2018] [php7:warn] [pid 1278] [client 127.0.0.1:43468] PHP Warning:  file_put_contents(/path/to/images/image.png): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:05:22.182105 2018] [php7:warn] [pid 1279] [client 127.0.0.1:43734] PHP Warning:  file_put_contents(../images/image.jpeg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:05:31.882675 2018] [php7:warn] [pid 8005] [client 127.0.0.1:43736] PHP Warning:  file_put_contents(/images/image.jpeg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:08:57.291451 2018] [php7:warn] [pid 1277] [client 127.0.0.1:44646] PHP Warning:  file_put_contents(http://local.restfoodsibm.com/image/image.jpeg): failed to open stream: HTTP wrapper does not support writeable connections in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:09:24.482154 2018] [php7:warn] [pid 1276] [client 127.0.0.1:44760] PHP Warning:  file_put_contents(http://local.restfoodsibm.com/images/image.jpeg): failed to open stream: HTTP wrapper does not support writeable connections in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:10:18.596452 2018] [php7:warn] [pid 8005] [client 127.0.0.1:44988] PHP Warning:  file_put_contents(http://local.restfoodsibm.com/images/image.jpeg): failed to open stream: HTTP wrapper does not support writeable connections in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:14:17.712813 2018] [php7:notice] [pid 1277] [client 127.0.0.1:46056] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Sat Oct 20 11:14:19.284260 2018] [php7:notice] [pid 1277] [client 127.0.0.1:46056] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:14:19.284323 2018] [php7:warn] [pid 1277] [client 127.0.0.1:46056] PHP Warning:  file_put_contents(http://local.restfoodsibm.com/images/image.jpeg): failed to open stream: HTTP wrapper does not support writeable connections in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:14:43.941756 2018] [php7:notice] [pid 1276] [client 127.0.0.1:46166] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:14:43.941828 2018] [php7:warn] [pid 1276] [client 127.0.0.1:46166] PHP Warning:  file_put_contents(/images/image.jpeg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:14:59.095446 2018] [php7:notice] [pid 8005] [client 127.0.0.1:46232] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:14:59.095513 2018] [php7:warn] [pid 8005] [client 127.0.0.1:46232] PHP Warning:  file_put_contents(../images/image.jpeg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:20:16.801421 2018] [php7:notice] [pid 1277] [client 127.0.0.1:47876] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Sat Oct 20 11:20:17.574213 2018] [php7:notice] [pid 1277] [client 127.0.0.1:47876] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:20:17.610381 2018] [php7:warn] [pid 1277] [client 127.0.0.1:47876] PHP Warning:  file_put_contents(./images/image.jpg): failed to open stream: Permission denied in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:42:54.002026 2018] [php7:notice] [pid 1278] [client 127.0.0.1:53430] PHP Notice:  Undefined index: op in /var/www/html/rest_foods_ibm/index.php on line 4
[Sat Oct 20 11:42:55.711171 2018] [php7:notice] [pid 1278] [client 127.0.0.1:53430] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:42:55.711266 2018] [php7:warn] [pid 1278] [client 127.0.0.1:53430] PHP Warning:  file_put_contents(path/to/rest_foods_ibm/images/image.jpg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:48:11.628762 2018] [php7:notice] [pid 1279] [client 127.0.0.1:54850] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:48:11.628830 2018] [php7:warn] [pid 1279] [client 127.0.0.1:54850] PHP Warning:  file_put_contents(../images/image.jpg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:52:28.069605 2018] [php7:notice] [pid 8005] [client 127.0.0.1:55916] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:52:28.069700 2018] [php7:warn] [pid 8005] [client 127.0.0.1:55916] PHP Warning:  file_put_contents(../images/image.jpg): failed to open stream: No such file or directory in /var/www/html/rest_foods_ibm/Functions/Images.php on line 13
[Sat Oct 20 11:53:12.662964 2018] [php7:notice] [pid 1277] [client 127.0.0.1:56102] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:53:50.811074 2018] [php7:warn] [pid 1278] [client 127.0.0.1:56260] PHP Warning:  base64_decode() expects parameter 1 to be string, array given in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:56:36.292588 2018] [php7:notice] [pid 1276] [client 127.0.0.1:56952] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:57:29.074868 2018] [php7:notice] [pid 1280] [client 127.0.0.1:57188] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:57:52.750142 2018] [php7:notice] [pid 10107] [client 127.0.0.1:57290] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:57:52.750193 2018] [php7:notice] [pid 10107] [client 127.0.0.1:57290] PHP Notice:  Array to string conversion in /var/www/html/rest_foods_ibm/Functions/Images.php on line 8
[Sat Oct 20 11:58:05.004393 2018] [php7:notice] [pid 1279] [client 127.0.0.1:57344] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:58:05.004423 2018] [php7:notice] [pid 1279] [client 127.0.0.1:57344] PHP Notice:  Array to string conversion in /var/www/html/rest_foods_ibm/Functions/Images.php on line 8
[Sat Oct 20 11:58:08.909641 2018] [php7:notice] [pid 1279] [client 127.0.0.1:57344] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:58:08.909687 2018] [php7:notice] [pid 1279] [client 127.0.0.1:57344] PHP Notice:  Array to string conversion in /var/www/html/rest_foods_ibm/Functions/Images.php on line 8
[Sat Oct 20 11:58:41.315217 2018] [php7:notice] [pid 8005] [client 127.0.0.1:57496] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
[Sat Oct 20 11:59:53.789139 2018] [php7:notice] [pid 1277] [client 127.0.0.1:57798] PHP Notice:  Undefined offset: 1 in /var/www/html/rest_foods_ibm/Functions/Images.php on line 7
